name,parent,value
Origin,,
8d48827e8885c5fa112dbc9a65ca791c3d1e64d3c706f0e25ccd2eae,Origin,9
8dc899822eced4e410a6946ea908ad6a12c774ebad3f01e6a58c9a9f,Origin,6
8f5ad46ce844c5b766ceb101e275f0e4697188c576f259a5af368a9e,Origin,8
935d6b3ba734cfcfb6b400b746db0dedb7e6c337ce46e9f2c2485f4d,Origin,8
94dca365f61dd3ef9c327887442ace5d22b4561a5a4e8e0ec5d60797,Origin,7
9730622ca87b55f2cf60039c9814d0a24d4d75b88f5e05363bbb5c76,Origin,6
983f53d8f1fdf1b8bb6cd7222d72f6a3d0447d57dc067ac2e731b9ef,Origin,9
998201f2768e2a535215b674fddbf168d995d4e76af69ecf990a1312,Origin,7
9a3521d5eae11f5525921e0310a587e996ef9ed8ab6d75756c894549,Origin,8
9a9d114784900f2fa96337c8e1e8c9c7c6abd686ece914d9b5b82ff4,Origin,6
9afd52aa5adedbc732e31b142d20adbb80ba978db4dc26e371b066f0,Origin,6
9d8927e0eeffc1e8b66452999f0279f925b7b179987c2abea225633c,Origin,6
9da8c9da2c9b8c5dad57517c603318804d8d3699ccf6046be939fb9e,Origin,6
9f893273403a062a82b87578acc0f851d7fbfbb57b11f06c19e33d22,Origin,7
a0980d407bb1bb9d5b27e1a8b837242dcd9f988011deb46f8d42841b,Origin,7
a14a3898c03afe4f7f2375f1a367faaa0b638251beb0a47411cff00a,Origin,7
a65051b9ea936a651614fd3e05fe53f7d35089a0a0b17690d76d026b,Origin,8
a6d59530f1b6f0ce9f394c74ab1bb9ce68d66eae7c034e90425a8bb2,Origin,10
a94c3ea7909585f880aea07ca60224a87d931574b8ec1a323cde0618,Origin,9
aba829af6a9efded1cd5581cf63ff0b3252765de5d7f0450aa61b99d,Origin,6
ad2a50f72b3716df56c740adad9a1fcd19e2c51415ba48ae3631ace2,Origin,6
ae49f6091b1c9a5a4d2a748fe9f8c1a40164e427b28e366a6cb90e08,Origin,8
b27237d51a794aeb3b5acbaeac0658e5085d0a788a3ace46d6b5624b,Origin,10
b27349bcdfb40ab0427b41e3ebf82402b59060cb0a3df2415d2b974f,Origin,9
b88459f26bfb3833a476edada911d1348ef9bc1a5839bf2ca8a73a31,Origin,9
ba465611f7d8e84df9462eb7979b093ef6102d1657e7ba1d6dba962d,Origin,7
badba3200f049501bf3df27c405cf3ddb6698fe45bc95d7ccd11bf31,Origin,7
